Vial,Line,Date Started,Date Checked,Day,New Bottle,Total on Petri,New Petri,Total New Pupae,Pupae Total,New Adult Females,New Adult Males,Total Females,Total Males,Adults Total,Current Pupae
C1,C,4/4/2026,4/10/2026,6,5,4,4,9,9,0,0,0,0,0,9
C1,C,4/4/2026,4/11/2026,7,4,11,7,11,20,0,0,0,0,0,20
C1,C,4/4/2026,4/12/2026,8,0,11,0,0,20,0,0,0,0,0,20
C1,C,4/4/2026,4/13/2026,9,0,11,0,0,20,0,0,0,0,0,20
C1,C,4/4/2026,4/14/2026,10,0,11,0,0,20,0,0,0,0,0,20
C1,C,4/4/2026,4/15/2026,11,0,12,1,1,21,3,1,3,1,4,17
C1,C,4/4/2026,4/16/2026,12,0,12,0,0,21,3,10,6,11,17,4
C1,C,4/4/2026,4/17/2026,13,0,12,0,0,21,0,1,6,12,18,3
C1,C,4/4/2026,4/18/2026,14,0,12,0,0,21,0,0,6,12,18,3
C1,C,4/4/2026,4/19/2026,15,0,12,0,0,21,0,1,6,13,19,2
C2,C,4/4/2026,4/10/2026,6,8,6,6,14,14,0,0,3,10,13,1
C2,C,4/4/2026,4/11/2026,7,4,13,7,11,25,0,0,0,0,0,25
C2,C,4/4/2026,4/12/2026,8,1,13,0,1,26,0,0,0,0,0,26
C2,C,4/4/2026,4/13/2026,9,0,13,0,0,26,0,0,0,0,0,26
C2,C,4/4/2026,4/14/2026,10,0,13,0,0,26,0,0,0,0,0,26
C2,C,4/4/2026,4/15/2026,11,0,13,0,0,26,1,2,1,2,3,23
C2,C,4/4/2026,4/16/2026,12,0,13,0,0,26,9,9,10,11,21,5
C2,C,4/4/2026,4/17/2026,13,0,13,0,0,26,1,1,11,12,23,3
C3,C,4/4/2026,4/10/2026,6,3,0,0,3,3,0,0,0,0,0,3
C3,C,4/4/2026,4/11/2026,7,7,14,14,21,24,0,0,0,0,0,24
C3,C,4/4/2026,4/12/2026,8,0,14,0,0,24,0,0,0,0,0,24
C3,C,4/4/2026,4/13/2026,9,0,14,0,0,24,0,0,0,0,0,24
C3,C,4/4/2026,4/14/2026,10,0,14,0,0,24,0,0,0,0,0,24
C3,C,4/4/2026,4/15/2026,11,0,14,0,0,24,0,0,0,0,0,24
C3,C,4/4/2026,4/16/2026,12,0,14,0,0,24,11,11,11,11,22,2
C3,C,4/4/2026,4/17/2026,13,0,14,0,0,24,0,0,11,11,22,2
C4,C,4/4/2026,4/10/2026,6,4,5,5,9,9,0,0,0,0,0,9
C4,C,4/4/2026,4/11/2026,7,4,16,11,15,24,0,0,0,0,0,24
C4,C,4/4/2026,4/12/2026,8,0,17,1,1,25,0,0,0,0,0,25
C4,C,4/4/2026,4/13/2026,9,0,17,0,0,25,0,0,0,0,0,25
C4,C,4/4/2026,4/14/2026,10,0,17,0,0,25,0,0,0,0,0,25
C4,C,4/4/2026,4/15/2026,11,0,17,0,0,25,2,1,2,1,3,22
C4,C,4/4/2026,4/16/2026,12,0,17,0,0,25,11,10,13,11,24,1
C4,C,4/4/2026,4/17/2026,13,0,17,0,0,25,0,0,13,11,24,1
C4,C,4/4/2026,4/18/2026,14,0,17,0,0,25,0,0,13,11,24,1
C4,C,4/4/2026,4/19/2026,15,0,17,0,0,25,0,1,13,12,25,0
H1,H,4/4/2026,4/10/2026,6,2,4,4,6,6,0,0,0,0,0,6
H1,H,4/4/2026,4/11/2026,7,1,10,6,7,13,0,0,0,0,0,13
H1,H,4/4/2026,4/12/2026,8,0,10,0,0,13,0,0,0,0,0,13
H1,H,4/4/2026,4/13/2026,9,0,10,0,0,13,0,0,0,0,0,13
H1,H,4/4/2026,4/14/2026,10,0,10,0,0,13,0,0,0,0,0,13
H1,H,4/4/2026,4/15/2026,11,0,10,0,0,13,4,1,4,1,5,8
H1,H,4/4/2026,4/16/2026,12,0,10,0,0,13,3,5,7,6,13,0
H1,H,4/4/2026,4/17/2026,13,0,10,0,0,13,0,0,7,6,13,0
H2,H,4/4/2026,4/10/2026,6,0,6,6,6,6,0,0,0,0,0,6
H2,H,4/4/2026,4/11/2026,7,1,13,7,8,14,0,0,0,0,0,14
H2,H,4/4/2026,4/12/2026,8,0,13,0,0,14,0,0,0,0,0,14
H2,H,4/4/2026,4/13/2026,9,0,15,2,2,16,0,0,0,0,0,16
H2,H,4/4/2026,4/14/2026,10,0,15,0,0,16,0,0,0,0,0,16
H2,H,4/4/2026,4/15/2026,11,0,15,0,0,16,1,0,1,0,1,15
H2,H,4/4/2026,4/16/2026,12,0,15,0,0,16,6,6,7,6,13,3
H2,H,4/4/2026,4/17/2026,13,0,15,0,0,16,1,0,8,6,14,2
H3,H,4/4/2026,4/10/2026,6,2,3,3,5,5,0,0,0,0,0,5
H3,H,4/4/2026,4/11/2026,7,2,6,3,5,10,0,0,0,0,0,10
H3,H,4/4/2026,4/12/2026,8,0,7,1,1,11,0,0,0,0,0,11
H3,H,4/4/2026,4/13/2026,9,0,8,1,1,12,0,0,0,0,0,12
H3,H,4/4/2026,4/14/2026,10,0,8,0,0,12,0,0,0,0,0,12
H3,H,4/4/2026,4/15/2026,11,0,8,0,0,12,3,0,3,0,3,9
H3,H,4/4/2026,4/16/2026,12,0,8,0,0,12,3,5,6,5,11,1
H3,H,4/4/2026,4/17/2026,13,0,8,0,0,12,0,1,6,6,12,0
H4,H,4/4/2026,4/10/2026,6,0,3,3,3,3,0,0,0,0,0,3
H4,H,4/4/2026,4/11/2026,7,0,5,2,2,5,0,0,0,0,0,5
H4,H,4/4/2026,4/12/2026,8,0,5,0,0,5,0,0,0,0,0,5
H4,H,4/4/2026,4/13/2026,9,0,6,1,1,6,0,0,0,0,0,6
H4,H,4/4/2026,4/14/2026,10,0,6,0,0,6,0,0,0,0,0,6
H4,H,4/4/2026,4/15/2026,11,0,6,0,0,6,1,0,1,0,1,5
H4,H,4/4/2026,4/16/2026,12,0,6,0,0,6,3,1,4,1,5,1
H4,H,4/4/2026,4/17/2026,13,0,6,0,0,6,0,0,4,1,5,0
L1,L,4/4/2026,4/10/2026,6,1,1,1,2,2,0,0,0,0,0,2
L1,L,4/4/2026,4/11/2026,7,0,1,0,0,2,0,0,0,0,0,2
L1,L,4/4/2026,4/12/2026,8,0,1,0,0,2,0,0,0,0,0,2
L1,L,4/4/2026,4/13/2026,9,0,1,0,0,2,0,0,0,0,0,2
L1,L,4/4/2026,4/14/2026,10,0,1,0,0,2,0,0,0,0,0,2
L1,L,4/4/2026,4/15/2026,11,0,1,0,0,2,2,0,2,0,2,0
L1,L,4/4/2026,4/16/2026,12,,1,0,0,2,0,0,2,0,2,0
L2,L,4/4/2026,4/10/2026,6,4,2,2,6,6,0,0,0,0,0,6
L2,L,4/4/2026,4/11/2026,7,1,3,1,2,8,0,0,0,0,0,8
L2,L,4/4/2026,4/12/2026,8,0,3,0,0,8,0,0,0,0,0,8
L2,L,4/4/2026,4/13/2026,9,0,3,0,0,8,0,0,0,0,0,8
L2,L,4/4/2026,4/14/2026,10,0,3,0,0,8,0,0,0,0,0,8
L2,L,4/4/2026,4/15/2026,11,0,3,0,0,8,2,0,2,0,2,6
L2,L,4/4/2026,4/16/2026,12,0,3,0,0,8,3,2,5,2,7,1
L2,L,4/4/2026,4/17/2026,13,0,3,0,0,8,0,1,5,3,8,0
L3,L,4/4/2026,4/10/2026,6,10,2,-1,9,9,0,0,3,2,5,4
L3,L,4/4/2026,4/11/2026,7,5,5,3,8,17,0,0,0,0,0,17
L3,L,4/4/2026,4/12/2026,8,0,5,0,0,17,0,0,0,0,0,17
L3,L,4/4/2026,4/13/2026,9,0,6,1,1,18,0,0,0,0,0,18
L3,L,4/4/2026,4/14/2026,10,0,6,0,0,18,0,0,0,0,0,18
L3,L,4/4/2026,4/15/2026,11,0,6,0,0,18,8,2,8,2,10,8
L3,L,4/4/2026,4/16/2026,12,,6,0,0,18,2,4,10,6,16,2
L3,L,4/4/2026,4/17/2026,13,1,6,0,1,19,1,1,11,7,18,0
L4,L,4/4/2026,4/10/2026,6,13,1,1,14,14,0,0,0,0,0,14
L4,L,4/4/2026,4/11/2026,7,7,3,2,9,23,0,0,0,0,0,23
L4,L,4/4/2026,4/12/2026,8,0,3,0,0,23,0,0,0,0,0,23
L4,L,4/4/2026,4/13/2026,9,0,3,0,0,23,0,0,0,0,0,23
L4,L,4/4/2026,4/14/2026,10,0,3,0,0,23,0,0,0,0,0,23
L4,L,4/4/2026,4/15/2026,11,0,3,0,0,23,8,3,8,3,11,12
L4,L,4/4/2026,4/16/2026,12,0,3,0,0,23,5,5,13,8,21,2
L4,L,4/4/2026,4/17/2026,13,0,3,0,0,23,0,2,13,10,23,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,2 pork chow,,,,,,,,,,,,,
,,1 chicken chow,,,,,,,,,,,,,
,,1 pork momo,,,,,,,,,,,,,
,,1 orange chicken momo,,,,,,,,,,,,,